"","value","patient_1","patient_2","patient_3","patient_4","patient_5","patient_6","patient_7","patient_8","patient_9","patient_10","patient_11"
"411","PAICS",1,0,0,0,1,1,1,0,0,0,1
"412","SCP2",1,1,0,1,0,1,0,0,0,0,1
"413","UBA1",1,1,0,1,0,1,1,0,1,1,0
"414","NME2",1,1,0,0,0,1,1,1,1,1,1
"415","ENPP1",1,0,1,0,0,1,0,0,0,0,1
"416","HNRNPA2B1",1,1,0,0,1,1,1,1,0,0,1
"417","CALB2",1,1,0,1,1,1,1,0,1,1,1
"418","UQCRC2",1,1,1,1,1,1,1,0,0,0,1
"419","SLC2A5",1,1,0,1,1,0,1,0,1,1,1
"420","TGM1",1,1,1,1,1,1,1,1,1,1,1
"421","MRC1",1,1,1,1,1,1,1,1,1,1,1
"422","CES1",1,1,0,1,0,0,0,0,0,0,0
"423","PTGS1",1,0,1,1,0,1,0,0,0,0,1
"424","ITGA6",1,1,1,0,1,1,1,0,1,1,1
"425","PPIB",1,1,1,1,1,0,1,0,0,1,1
"426","S100A1",1,0,0,0,0,0,0,1,0,0,0
"427","WARS1",1,1,0,1,0,1,1,0,0,1,0
"428","JAK1",1,1,1,1,0,1,1,0,1,1,1
"429","PTPRE",1,0,1,0,0,1,0,0,0,0,0
"430","PTPRG",1,0,0,0,0,0,0,0,0,0,1
"431","AHCY",1,1,1,1,0,0,1,0,1,1,0
"432","ATP2B4",1,1,1,1,1,1,1,1,1,1,0
"433","KDELR1",1,1,1,1,1,1,0,0,0,0,1
"434","EEF1B2",1,0,1,1,1,0,1,0,0,1,1
"435","ATP5PB",1,1,1,1,1,1,1,0,0,1,1
"436","TBXAS1",1,0,1,1,1,1,0,0,0,0,1
"437","RPS12",1,1,1,1,0,1,1,1,1,1,1
"438","FAS",1,1,1,1,1,1,1,0,1,1,1
"439","ATP5F1A",1,1,1,1,1,1,1,1,0,1,0
"440","PSMA3",1,0,0,0,0,0,1,0,0,0,1
"441","PSMA4",1,0,1,1,1,0,1,0,1,0,0
"442","ITGA3",1,1,1,1,1,1,1,1,1,1,0
"443","ITGB8",1,1,1,0,1,1,1,1,1,1,0
"444","MSN",1,0,0,0,1,0,1,0,1,1,0
"445","DDX6",1,1,0,0,1,1,0,1,0,0,1
"446","CTNNA2",1,1,1,1,1,1,1,1,0,1,1
"447","S100A4",1,1,0,1,1,1,1,0,1,1,0
"448","PTBP1",1,0,1,1,1,1,0,0,0,0,1
"449","TARS1",1,0,0,0,1,0,1,0,0,0,1
"450","EEF1G",1,1,1,1,0,1,1,0,1,1,1
"451","FKBP2",1,1,1,1,1,1,1,0,0,0,1
"452","STOM",1,1,1,1,1,1,1,1,1,1,1
"453","MAOB",1,1,1,1,1,1,0,0,0,1,1
"454","ATP6V0C",1,0,1,1,0,1,0,0,0,0,1
"455","DPP4",1,1,1,1,0,1,1,1,1,1,1
"456","RPL10",1,1,1,1,1,1,1,1,0,0,1
"457","CD82",1,1,1,1,1,1,1,1,1,1,1
"458","CAD",1,1,1,1,1,0,1,1,0,0,1
"459","CALR",1,1,0,1,0,1,1,1,0,1,0
"460","CANX",1,1,1,1,1,1,1,1,1,1,0
"461","PSMB8",1,0,0,1,0,0,0,0,1,0,0
"462","PSMB9",1,0,0,1,0,0,0,0,0,0,0
"463","PSMA5",1,1,1,1,0,0,0,0,0,0,0
"464","HLA-DMA",1,0,0,1,0,1,0,0,0,0,0
"465","GSTM2",1,0,1,1,1,0,0,1,0,1,1
"466","TMOD1",1,0,0,1,0,1,0,0,0,0,1
"467","LOX",1,0,0,0,0,0,0,0,1,0,0
"468","NDUFS1",1,1,1,1,0,1,0,0,0,0,1
"469","MAPK1",1,1,1,1,1,1,1,1,1,0,1
"470","GCA",1,1,1,1,1,1,0,0,0,0,1
"471","LAP3",1,1,0,1,0,0,1,0,0,1,1
"472","CD34",1,1,1,1,0,1,1,0,0,1,1
"473","CD38",1,1,0,1,0,1,0,1,1,0,1
"474","TPP2",1,0,1,1,1,0,1,1,0,0,0
"475","EPHA2",1,1,0,1,1,1,1,0,0,0,0
"476","EPHB2",1,0,1,1,0,1,1,1,0,0,1
"477","PTPN6",1,0,1,0,1,1,0,1,0,0,1
"478","CRABP2",1,1,0,1,0,0,1,1,0,0,1
"479","TKT",1,0,0,0,0,1,1,0,1,1,0
"480","TYK2",1,0,0,0,1,0,0,0,0,0,1
"481","OAS2",1,0,1,0,1,1,0,0,1,0,1
"482","MARCKS",1,1,0,1,1,1,1,1,1,1,0
"483","AQP1",1,1,1,1,1,1,1,1,1,1,0
"484","GNA11",1,1,1,1,1,1,1,1,1,1,1
"485","ERP29",1,0,1,1,0,0,1,0,0,0,1
"486","PRDX6",1,1,0,1,0,0,1,1,1,1,0
"487","PRDX5",1,0,1,1,1,0,1,0,1,1,1
"488","ECHS1",1,1,0,1,1,0,0,0,0,0,1
"489","PEBP1",1,1,0,1,1,1,1,1,0,0,0
"490","PDIA3",1,1,1,0,1,0,1,1,1,1,1
"491","PPP2R1A",1,1,0,1,1,1,1,1,1,1,0
"492","TM4SF1",1,1,1,1,1,0,1,1,1,0,1
"493","HLA-F",1,0,1,0,1,0,0,0,0,0,1
"494","HMOX2",1,1,0,1,0,1,0,0,0,0,1
"495","LRPAP1",1,0,1,1,0,0,0,0,0,0,1
"496","TSPO",1,0,1,1,1,1,0,0,0,0,0
"497","SRI",1,1,1,1,1,0,1,1,0,1,1
"498","GSTT1",1,0,1,1,0,1,0,0,0,0,1
"499","SERPINB1",1,1,1,1,0,1,1,1,1,0,0
"500","SDHA",1,0,1,0,1,0,0,0,0,0,1
"501","CORO1A",1,1,0,1,1,0,1,0,1,1,1
"502","GDI1",1,1,0,1,1,0,1,0,0,0,1
"503","DNAJA1",1,1,1,1,1,1,1,1,1,0,1
"504","UQCRC1",1,1,1,1,1,1,0,0,0,0,1
"505","ATIC",1,1,1,1,1,1,1,1,1,0,1
"506","HNRNPH1",1,0,1,1,1,1,1,1,0,0,1
"507","STIP1",1,1,1,1,0,1,1,1,1,1,0
"508","FCGR2B",1,0,0,1,0,1,0,1,1,1,1
"509","CEACAM8",1,1,0,1,0,0,0,0,0,0,0
"510","PRDX2",1,1,0,0,1,0,1,1,1,1,1
"511","SLC8A1",1,0,0,0,0,1,0,0,1,0,0
"512","GBP1",1,1,0,1,1,0,1,1,0,1,1
"513","ICAM3",1,1,0,0,0,0,0,0,0,0,0
"514","RPL9",1,1,1,1,1,0,1,1,0,0,1
"515","ACSL1",1,1,1,1,1,1,0,0,0,0,0
"516","KIF5B",1,0,0,0,1,0,1,1,0,0,1
"517","LSP1",1,1,1,1,0,1,1,0,0,1,1
"518","ABCC1",1,1,1,1,0,1,1,0,0,0,1
"519","KDELR2",1,1,1,1,1,1,0,0,0,0,0
"520","CD68",1,1,1,1,1,1,1,1,0,1,1
"521","EVI2B",1,0,1,1,1,0,0,1,1,1,1
"522","HSPA4",1,1,0,1,1,1,1,0,1,1,0
"523","GPC1",1,0,0,0,0,0,0,0,0,0,0
"524","CTNNA1",1,1,1,1,0,1,1,1,1,1,0
"525","CTNNB1",1,1,1,1,1,1,1,1,1,1,0
"526","PHB1",1,1,1,1,1,1,1,0,0,1,1
"527","SERPINB6",1,0,1,1,1,0,1,1,0,0,1
"528","RDX",1,1,1,1,1,1,1,1,1,1,1
"529","RPL22",1,0,1,1,1,0,1,0,1,0,1
"530","FBN1",1,1,1,0,1,1,0,1,1,1,1
"531","MYH10",1,1,0,1,1,0,1,1,1,1,0
"532","COPB2",1,1,1,0,1,0,1,1,0,0,0
"533","SOAT1",1,0,0,0,1,1,0,0,0,0,0
"534","ADD1",1,1,1,1,1,1,1,1,1,1,1
"535","BSG",1,1,1,1,1,1,1,1,1,1,1
"536","GGT5",1,0,1,1,0,1,1,0,0,0,0
"537","ARL3",1,0,0,1,0,0,0,0,0,0,1
"538","RPL4",1,1,1,1,1,1,1,1,0,0,1
"539","PGM1",1,1,1,1,1,1,1,0,1,1,1
"540","PPP1CC",1,1,1,0,0,0,0,0,0,0,1
"541","DLST",1,1,0,0,0,1,0,0,0,1,1
"542","GPX4",1,1,1,1,0,0,1,1,0,0,1
"543","HPCAL1",1,1,1,1,1,1,1,1,0,0,1
"544","TAGLN2",1,1,0,0,1,0,1,0,1,1,1
"545","ATP6V1A",1,1,1,1,1,1,1,1,1,1,0
"546","HSPA9",1,1,1,1,1,1,1,0,0,0,0
"547","EIF4A3",1,0,1,0,0,1,0,1,0,0,0
"548","RPL3",1,1,1,1,1,1,1,1,0,0,1
"549","DDOST",1,1,1,1,1,1,1,0,0,0,1
"550","CAPG",1,1,1,1,1,0,1,1,1,1,0
"551","IL6ST",1,1,1,1,1,1,1,0,0,0,0
"552","CCT6A",1,0,1,1,0,0,1,0,1,0,0
"553","NNMT",1,1,1,1,1,0,1,0,0,0,0
"554","ARL1",1,0,1,1,1,1,0,0,0,0,1
"555","STAT3",1,1,0,1,1,0,1,1,1,1,1
"556","MDH1",1,1,0,1,1,1,1,1,1,1,1
"557","MDH2",1,1,0,1,1,1,1,1,0,0,1
"558","HADHA",1,1,1,1,1,1,1,0,0,1,1
"559","EIF2S3",1,0,1,1,1,1,1,1,1,0,0
"560","CD200",1,1,1,1,1,1,1,0,0,1,1
"561","IARS1",1,1,1,1,1,0,0,1,0,0,1
"562","PRKCI",1,0,0,1,1,1,1,0,0,0,1
"563","STAT1",1,0,0,0,1,0,1,1,1,1,1
"564","PI4KA",1,1,1,1,0,1,1,0,1,0,1
"565","EPS15",1,0,1,1,1,1,0,0,0,0,0
"566","RPS27",1,0,1,0,1,1,0,1,0,0,0
"567","FRK",1,0,0,0,0,0,0,0,0,0,0
"568","GPD2",1,0,0,1,1,0,0,0,0,0,1
"569","ALDH3B1",1,1,1,1,1,1,1,0,1,0,1
"570","SYK",1,1,0,0,0,0,0,0,1,0,1
"571","VDAC2",1,1,1,1,1,0,0,1,0,1,0
"572","USP5",1,1,1,1,1,1,1,1,0,0,1
"573","NSF",1,0,1,1,0,1,1,0,0,0,1
"574","RPL5",1,0,1,1,1,0,1,1,0,0,1
"575","RPL21",1,1,1,0,1,1,1,1,0,0,1
"576","RPL28",1,1,1,1,1,1,0,1,0,0,1
"577","RPS9",1,1,1,1,1,1,1,1,0,0,1
"578","RPS5",1,1,1,1,1,0,0,0,0,0,1
"579","RPS10",1,0,1,1,1,0,1,0,1,1,1
"580","STT3A",1,1,1,0,1,1,1,0,0,0,1
"581","CAPZA2",1,1,1,1,1,1,1,1,1,1,1
"582","CAPZB",1,1,0,1,0,1,1,0,1,1,1
"583","UQCRFS1",1,0,0,1,0,1,0,0,0,0,0
"584","ATP5PO",1,0,0,1,0,1,0,0,0,0,0
"585","LIMS1",1,0,1,1,1,0,1,0,0,0,1
"586","TM4SF4",1,0,0,0,0,0,0,0,0,0,0
"587","PIP4K2A",1,0,0,1,1,1,1,0,0,1,1
"588","ARCN1",1,1,1,1,1,1,0,1,0,0,1
"589","CD151",1,1,1,1,1,1,1,1,1,1,1
"590","CCT5",1,1,1,1,0,0,1,0,1,1,0
"591","IDH2",1,1,1,1,0,1,1,0,1,1,1
"592","ADGRE5",1,1,1,1,1,1,1,0,1,1,1
"593","MARCKSL1",1,0,1,1,0,1,1,1,0,1,1
"594","DNASE1L1",1,1,1,1,0,0,1,0,0,1,0
"595","ALDH9A1",1,1,1,1,1,1,1,0,0,0,1
"596","LMAN1",1,1,0,1,1,1,1,0,0,1,0
"597","NASP",1,0,0,0,0,0,0,0,0,0,0
"598","FASN",1,1,1,1,1,1,0,1,0,1,1
"599","CCT3",1,1,1,1,1,1,1,1,1,1,1
"600","TUFM",1,1,0,1,1,1,0,0,0,1,1
"601","ALDH7A1",1,0,1,1,1,1,1,1,0,0,1
"602","AARS1",1,1,1,1,1,1,1,0,1,0,0
"603","SARS1",1,1,1,1,1,1,1,1,1,0,1
"604","PSMB2",1,1,0,1,0,0,1,0,0,1,0
"605","THBS3",1,0,0,0,0,0,0,0,0,0,0
"606","ACADVL",1,1,1,1,1,1,1,0,0,0,1
"607","TMED10",1,1,1,1,1,1,1,1,0,1,1
"608","RANBP2",1,0,0,1,0,0,0,0,0,0,0
"609","GNAQ",1,1,1,1,1,1,1,1,1,1,1
"610","GNG10",1,1,0,1,1,0,0,0,0,0,1
"611","CRIP1",1,1,1,0,0,0,0,1,0,0,1
"612","GDI2",1,1,1,0,0,1,1,0,1,1,0
"613","CPT1A",1,0,1,1,1,1,0,0,0,0,1
"614","SERPINB9",1,0,0,1,0,0,0,0,1,0,1
"615","SERPINH1",1,0,0,1,1,0,1,0,1,1,0
"616","ST13",1,1,1,1,1,1,1,0,1,0,1
"617","VASP",1,1,1,1,1,1,1,1,0,1,1
"618","DNM2",1,1,1,1,1,1,1,1,0,1,1
"619","BCAM",1,1,1,1,0,1,1,0,0,1,0
"620","RPL14",1,0,1,0,1,0,1,0,0,0,1
"621","CCT8",1,1,1,1,1,0,1,1,1,1,1
"622","CCT4",1,1,1,1,1,0,1,0,1,1,1
"623","ANXA11",1,1,1,1,0,1,1,1,1,1,1
"624","RAB5C",1,1,1,1,1,0,1,0,1,1,0
"625","RAB7A",1,1,1,1,1,0,1,0,1,1,1
"626","PLCD1",1,1,1,1,1,1,1,0,0,1,1
"627","SSR4",1,1,1,1,1,1,1,0,0,1,1
"628","BCAP31",1,1,1,1,1,1,1,1,0,1,1
"629","CAV2",1,1,1,1,1,1,0,0,0,0,0
"630","HSD17B4",1,1,1,1,1,0,1,0,0,0,1
"631","VAMP7",1,0,1,1,1,1,0,0,0,0,0
"632","RPS6KA3",1,0,0,1,1,1,1,0,0,0,0
"633","HNRNPA3",1,1,0,0,1,1,0,1,0,0,1
"634","PGD",1,1,1,1,1,1,1,0,1,1,1
"635","HNRNPM",1,1,1,1,0,1,0,1,0,0,1
"636","ARHGDIA",1,1,1,0,1,1,1,1,1,1,1
"637","ARHGDIB",1,1,1,1,1,1,1,1,1,1,1
"638","CAPZA1",1,1,0,1,1,0,1,0,1,1,0
"639","CRIP2",1,1,1,1,1,1,1,1,1,1,1
"640","SLC25A1",1,0,0,1,0,1,0,0,0,0,0
"641","ACLY",1,1,0,1,0,0,0,1,0,0,0
"642","COPB1",1,1,1,1,1,1,1,1,0,0,0
"643","COPA",1,1,1,1,1,1,1,0,0,0,0
"644","SLC16A1",1,1,1,1,1,1,1,1,1,1,1
"645","IST1",1,1,0,1,0,1,1,1,1,1,0
"646","RARS1",1,1,0,1,1,0,0,0,1,0,1
"647","CACNA2D1",1,1,1,1,1,1,1,1,0,1,1
"648","HSPA2",1,1,1,0,0,1,1,0,0,0,1
"649","ATP1B3",1,1,1,1,1,1,1,1,1,1,1
"650","EPHB4",1,0,1,1,1,0,1,0,0,0,1
"651","NAPA",1,1,1,1,1,1,0,1,1,0,1
"652","MFAP2",1,0,0,0,0,0,0,0,0,1,0
"653","SLC12A2",1,0,0,0,1,0,0,0,0,0,0
"654","CSE1L",1,0,1,1,1,1,1,0,1,1,1
"655","TMBIM6",1,0,0,1,0,0,0,0,0,0,1
"656","MFAP4",1,0,0,1,0,1,0,0,0,1,0
"657","MANF",1,1,0,1,1,1,0,0,0,0,1
"658","NCKAP1L",1,1,0,1,1,0,1,1,1,0,0
"659","AFDN",1,0,0,0,1,0,1,1,1,0,1
"660","NAP1L1",1,1,1,1,0,0,1,0,1,1,0
"661","LAMB2",1,1,1,1,1,0,1,0,0,0,1
"662","SEC13",1,0,0,1,1,0,0,0,0,0,1
"663","NPEPPS",1,1,1,1,1,1,1,0,1,1,1
"664","HNRNPH2",1,0,0,0,0,0,0,1,0,0,0
"665","EIF3B",1,0,0,1,1,0,1,1,0,0,1
"666","FCGRT",1,1,1,1,1,1,1,0,0,0,1
"667","ATP5MF",1,1,1,1,1,1,0,0,0,0,1
"668","MARS1",1,1,1,0,1,0,0,1,0,0,0
"669","TMEM33",1,1,0,1,1,1,0,0,0,0,1
"670","EPPK1",1,0,0,1,1,1,0,1,1,0,1
"671","ANTXR2",1,1,0,1,0,0,0,0,0,0,0
"672","GNG2",1,1,1,1,1,1,1,0,1,1,1
"673","ARPC4",1,1,0,0,1,1,1,0,1,1,0
"674","CD81",1,1,1,1,1,1,1,1,1,1,1
"675","SEC61G",1,0,1,1,0,0,0,0,0,0,1
"676","PSMA6",1,1,0,1,0,1,1,0,0,1,0
"677","S100A10",1,1,1,1,1,0,1,1,1,1,1
"678","CDC42",1,1,1,1,1,1,1,0,1,1,1
"679","DSTN",1,1,1,1,1,1,1,1,0,0,1
"680","GMFB",1,0,0,1,1,0,0,0,0,0,1
"681","RAB8A",1,1,1,1,1,1,1,1,1,1,1
"682","RAB2A",1,1,1,1,1,0,1,1,1,0,1
"683","RAB5B",1,1,1,1,1,1,1,1,1,1,0
"684","RAB10",1,1,1,1,1,1,0,0,1,1,1
"685","RAB14",1,1,1,1,1,1,1,1,0,0,1
"686","ACTR3",1,1,0,0,1,0,1,0,1,1,1
"687","ACTR2",1,1,0,1,1,1,1,0,1,0,1
"688","ACTR1A",1,1,1,0,1,1,1,1,1,1,1
"689","RAP1B",1,1,1,1,1,0,1,0,1,1,1
"690","RAP2B",1,1,1,1,1,1,1,1,1,1,1
"691","RPS3A",1,1,1,1,1,0,1,0,1,1,1
"692","RPL26",1,0,0,0,1,0,0,1,0,0,1
"693","RPL15",1,1,1,1,0,0,1,1,0,1,0
"694","RPL27",1,0,0,0,1,1,1,1,0,0,1
"695","ATP6V0D1",1,1,1,1,1,1,0,0,0,0,1
"696","RHOA",1,1,1,1,1,1,1,1,1,1,1
"697","HSPE1",1,0,0,1,1,0,1,0,0,1,1
"698","SEC61A1",1,1,0,1,1,0,0,0,0,0,1
"699","LYZ",1,1,1,1,1,0,1,0,0,1,1
"700","COPZ1",1,1,1,1,1,1,1,0,0,0,1
"701","YWHAG",1,1,0,1,1,1,1,0,1,1,0
"702","RRAS2",1,1,1,1,1,1,1,1,1,1,1
"703","RPS7",1,1,1,1,1,1,1,1,1,1,1
"704","PPP1CA",1,1,1,1,1,1,1,1,0,0,1
"705","PPP1CB",1,1,0,1,1,0,1,0,1,1,1
"706","PSMC5",1,0,1,1,1,0,0,1,0,0,1
"707","RPS15A",1,0,1,1,1,1,0,0,0,0,1
"708","RPS16",1,1,1,1,1,0,1,0,1,1,1
"709","RPS14",1,0,1,1,1,0,1,0,1,0,0
"710","RPS23",1,0,1,1,0,1,1,1,0,0,1
"711","RPS18",1,0,1,1,1,0,1,0,1,0,0
"712","RPS13",1,1,1,1,1,1,1,0,1,0,1
"713","RPS11",1,1,1,1,1,1,1,1,1,0,0
"714","SNRPD1",1,0,0,0,1,1,0,1,0,0,1
"715","TMSB4X",1,1,1,1,1,1,1,1,1,1,1
"716","ARF6",1,1,1,1,1,1,1,1,1,1,1
"717","SELENOT",1,0,0,0,0,0,0,0,0,0,0
"718","RPL7A",1,1,1,1,1,1,1,1,0,0,1
"719","RPS4X",1,1,1,1,1,0,1,0,1,1,1
"720","RHOB",1,0,0,1,0,0,0,0,0,1,0
"721","RPL23A",1,0,0,0,0,0,1,0,0,0,0
"722","H4C1",1,1,0,1,0,0,0,0,0,0,0
"723","RAN",1,0,1,1,0,1,1,0,1,0,1
"724","RPL23",1,1,1,1,1,0,1,0,1,1,1
"725","RAP1A",1,0,1,0,1,1,1,1,0,1,0
"726","RPS24",1,0,1,1,1,1,1,1,0,0,1
"727","RPS26",1,1,1,1,1,1,1,1,1,1,1
"728","RPS28",1,0,0,1,1,0,1,0,0,0,1
"729","GNB1",1,1,1,1,1,1,1,1,1,1,0
"730","GNB2",1,1,1,1,0,1,1,0,1,1,1
"731","RPL30",1,1,1,1,1,1,1,1,1,0,1
"732","RPL10A",1,0,0,1,1,1,0,1,1,0,1
"733","RPL32",1,1,0,1,1,1,1,1,0,0,1
"734","RPL11",1,1,1,1,1,0,0,0,0,0,1
"735","RPL8",1,1,1,1,1,1,1,1,1,1,1
"736","RPS27A",1,1,0,1,1,0,1,0,1,1,1
"737","GRB2",1,1,1,1,1,1,0,1,1,1,1
"738","RAC1",1,1,1,1,1,1,1,1,1,1,1
"739","AP2B1",1,1,1,1,1,1,1,1,1,1,1
"740","GNAI1",1,1,1,1,1,1,1,1,1,1,1
"741","DYNLL1",1,1,1,1,1,0,1,1,1,1,1
"742","SKP1",1,1,1,1,1,1,1,0,0,0,1
"743","EIF5A",1,1,1,0,1,1,1,0,1,1,1
"744","YBX1",1,1,0,1,1,0,1,0,1,1,1
"745","SEC11A",1,1,1,1,0,1,1,0,0,0,1
"746","CSNK2B",1,0,0,0,0,0,0,0,0,0,1
"747","UBE2L3",1,0,0,1,1,1,0,0,0,0,1
"748","CSNK2A1",1,1,1,1,1,1,0,1,0,0,0
"749","H3C1",1,0,1,1,0,0,1,0,1,1,1
"750","CXADR",1,0,1,1,0,1,1,0,1,0,0
"751","SIRPA",1,1,1,1,0,1,1,0,1,1,1
"752","EIF4G2",1,0,1,0,0,0,0,0,0,0,1
"753","CCT2",1,0,1,1,0,0,1,1,1,1,0
"754","GSTO1",1,1,1,1,1,1,1,1,1,1,1
"755","PRKDC",1,1,1,1,1,1,0,1,0,0,0
"756","HLA-DRB3",1,1,1,1,1,1,1,1,1,1,1
"757","NUCB2",1,1,1,0,1,1,0,0,0,0,1
"758","ARF5",1,1,1,1,1,1,1,1,1,0,1
"759","RHOG",1,1,1,1,1,1,1,1,1,1,1
"760","H3-3A",1,0,1,1,1,1,1,0,1,1,1
"761","FBLN2",1,0,0,1,1,1,0,0,1,1,0
"762","EFNB1",1,1,0,0,1,0,1,0,0,0,1
"763","MPP1",1,1,1,1,1,1,1,1,1,1,0
"764","PITPNA",1,1,1,1,0,1,1,0,0,1,1
"765","SLC25A3",1,1,1,1,1,1,0,0,0,0,1
"766","PURA",1,0,0,0,1,1,0,0,0,0,0
"767","REEP5",1,1,1,1,1,1,0,1,0,1,1
"768","HNRNPU",1,0,0,1,1,0,1,0,0,0,1
"769","SPTBN1",1,1,1,0,1,0,1,0,1,1,1
"770","FABP5",1,0,1,1,0,0,1,1,0,0,1
"771","IFITM3",1,1,0,1,1,1,1,0,1,1,0
"772","SLC7A5",1,1,0,0,1,1,0,1,1,0,1
"773","PLCB3",1,1,1,1,1,1,1,0,0,0,1
"774","RPL18A",1,1,1,1,1,0,0,1,0,0,1
"775","FKBP4",1,0,1,0,0,0,0,0,1,0,0
"776","PLOD1",1,0,1,1,1,1,0,0,0,0,0
"777","NUCB1",1,1,1,1,1,1,0,0,0,0,0
"778","RPL6",1,1,1,1,1,1,1,1,0,0,1
"779","AKAP12",1,0,1,0,0,1,1,0,1,1,1
"780","SLC25A11",1,1,1,1,1,1,1,0,0,1,1
"781","CAV1",1,1,1,1,1,1,1,1,0,1,0
"782","TNFAIP2",1,1,1,1,1,1,1,1,1,1,1
"783","PLAUR",1,1,0,1,1,1,1,1,1,0,1
"784","TAP1",1,1,1,1,0,1,0,0,0,0,0
"785","TAP2",1,1,1,1,1,1,0,0,0,0,1
"786","EIF4G1",1,0,1,0,1,1,0,1,0,0,0
"787","GLO1",1,1,1,1,0,1,1,0,0,1,1
"788","YWHAH",1,1,1,1,1,1,1,0,1,1,0
"789","KDSR",1,0,1,1,0,0,0,0,0,0,1
"790","PSME1",1,1,1,1,0,1,1,1,1,1,1
"791","PRDX1",1,1,0,1,1,1,1,0,1,1,1
"792","RPL18",1,1,1,1,1,1,1,0,0,1,1
"793","C1QBP",1,0,1,0,1,0,1,0,0,1,0
"794","CKAP4",1,1,1,1,1,1,1,0,0,1,0
"795","KHDRBS1",1,0,1,0,1,1,0,1,0,0,1
"796","LRP1",1,1,0,0,1,0,1,0,0,0,0
"797","ARHGAP1",1,1,1,1,1,1,1,1,0,0,1
"798","TGM3",1,0,0,1,1,0,1,0,0,1,1
"799","DHX9",1,0,1,0,0,1,0,1,0,0,1
"800","CRYZ",1,0,0,1,0,0,0,0,0,0,0
"801","GOLGA3",1,0,0,0,0,0,0,0,0,0,0
"802","GOLGA2",1,0,0,1,0,0,0,0,0,0,0
"803","MFGE8",1,1,1,1,1,1,1,1,1,1,0
"804","AHNAK",1,1,0,1,0,0,1,1,1,1,0
"805","GALNT2",1,0,0,0,0,0,0,0,0,0,0
"806","GALNT1",1,0,1,1,1,1,0,0,0,0,0
"807","AP1B1",1,1,1,0,1,1,0,0,0,0,1
"808","BST1",1,1,1,1,1,1,1,1,1,1,1
"809","BST2",1,1,1,1,1,1,1,1,1,1,1
"810","TWF1",1,1,1,1,1,0,1,1,1,1,1
"811","ASPH",1,1,1,1,1,1,1,0,0,1,1
"812","FSTL1",1,0,0,0,0,0,0,0,0,0,0
"813","STX4",1,1,1,1,0,1,1,1,1,1,1
"814","FAP",1,1,1,1,1,1,1,0,0,1,1
"815","LMAN2",1,1,1,1,1,1,1,0,0,1,1
"816","PTPRJ",1,1,1,1,1,1,1,1,1,1,1
"817","EPS8",1,0,0,1,1,1,1,1,1,0,1
"818","DLG1",1,1,0,1,0,1,0,0,0,0,1
"819","PTP4A2",1,1,0,0,1,1,1,0,0,0,1
"820","ECH1",1,1,0,1,1,1,0,0,0,0,1
"821","AIMP2",1,1,0,1,1,1,0,1,0,0,1
